Method,Mean,Std,Min,Max,Diag_Mean,Same_Class_Sim,Diff_Class_Sim,Computation_Runtime_s
Basis,0.002538250293582678,0.05031706765294075,0.0,1.0,1.0,0.004596206359565258,0.00028668626327998936,1.039175510406494
Angle,0.8177204728126526,0.18904992938041687,3.874085786410962e-40,1.0,1.0,0.8263565301895142,0.8082720041275024,6.440303802490234
Amplitude,0.09978317469358444,0.14103692770004272,9.340227565988665e-14,1.0,1.0,0.11376780271530151,0.08448289334774017,0.315558910369873
Phase,0.8177204728126526,0.18904992938041687,3.874085786410962e-40,1.0,1.0,0.8263565301895142,0.8082720041275024,4.701568126678467
