mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8111106395721436,0.038688867117258934,0.4064755916595459,0.05966092860165474,0.01,scale,"{'C': 0.01, 'gamma': 'scale'}",0.8682065217391305,0.8682065217391305,0.8600543478260869,0.8491847826086957,0.8491847826086957,0.8589673913043478,0.008524123446390294,18
0.8244596481323242,0.0211361832252283,0.4089536190032959,0.057932036642070736,0.01,0.001,"{'C': 0.01, 'gamma': 0.001}",0.6059782608695652,0.6059782608695652,0.6059782608695652,0.6059782608695652,0.6059782608695652,0.6059782608695652,0.0,24
0.848538589477539,0.028148539202522936,0.4523942947387695,0.02279989507332787,0.01,0.01,"{'C': 0.01, 'gamma': 0.01}",0.7758152173913043,0.7758152173913043,0.7676630434782609,0.7649456521739131,0.7581521739130435,0.7684782608695653,0.0067443878510819785,22
0.790737533569336,0.07417890220598111,0.38190231323242185,0.06300880790506055,0.01,0.1,"{'C': 0.01, 'gamma': 0.1}",0.7921195652173914,0.7866847826086957,0.7758152173913043,0.7622282608695652,0.7839673913043478,0.7801630434782607,0.01039735134223317,21
0.714357566833496,0.06228005004490436,0.39063129425048826,0.04458848608430617,0.01,1,"{'C': 0.01, 'gamma': 1}",0.6059782608695652,0.6059782608695652,0.6059782608695652,0.6059782608695652,0.6059782608695652,0.6059782608695652,0.0,24
0.4313199520111084,0.008484452527257776,0.24123120307922363,0.01485673071410512,0.1,scale,"{'C': 0.1, 'gamma': 'scale'}",0.9089673913043478,0.9130434782608695,0.9021739130434783,0.9089673913043478,0.8845108695652174,0.9035326086956521,0.010131169501253916,12
0.6637954235076904,0.06434044673191706,0.38622589111328126,0.07260823883649334,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.7894021739130435,0.8043478260869565,0.7948369565217391,0.7853260869565217,0.7839673913043478,0.7915760869565217,0.007422011023775923,20
0.4380615234375,0.05833072679871166,0.24736332893371582,0.03238466850683365,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.8980978260869565,0.9021739130434783,0.9035326086956522,0.8858695652173914,0.8885869565217391,0.8956521739130435,0.007158662974086678,14
0.5009505748748779,0.058030586292080764,0.2909379959106445,0.039333471241047496,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.90625,0.9116847826086957,0.8926630434782609,0.8994565217391305,0.8885869565217391,0.8997282608695653,0.00848069920343872,13
0.7249952793121338,0.08825207860991292,0.37526350021362304,0.024270299882990707,0.1,1,"{'C': 0.1, 'gamma': 1}",0.6589673913043478,0.654891304347826,0.6467391304347826,0.6603260869565217,0.6603260869565217,0.65625,0.005155887489404966,23
0.36967034339904786,0.05497659930244248,0.19243321418762208,0.036175472879015375,1.0,scale,"{'C': 1, 'gamma': 'scale'}",0.9239130434782609,0.9334239130434783,0.9225543478260869,0.9239130434782609,0.9116847826086957,0.9230978260869565,0.006906665775618927,3
0.5232772350311279,0.044871357064221795,0.32756719589233396,0.03249962691475896,1.0,0.001,"{'C': 1, 'gamma': 0.001}",0.8913043478260869,0.8980978260869565,0.8980978260869565,0.8817934782608695,0.8831521739130435,0.8904891304347826,0.007012765163349992,15
0.3365316867828369,0.04535430682436646,0.20463638305664061,0.038669955367767024,1.0,0.01,"{'C': 1, 'gamma': 0.01}",0.9239130434782609,0.9171195652173914,0.9225543478260869,0.9184782608695652,0.9144021739130435,0.9192934782608695,0.0035011137844361676,9
0.38212084770202637,0.06336866826268293,0.1654512405395508,0.02494020014166504,1.0,0.1,"{'C': 1, 'gamma': 0.1}",0.9293478260869565,0.9334239130434783,0.9116847826086957,0.9198369565217391,0.9116847826086957,0.9211956521739131,0.008930259089758138,6
1.398031234741211,0.20209505709230532,0.4321014881134033,0.0506269265072949,1.0,1,"{'C': 1, 'gamma': 1}",0.8980978260869565,0.8845108695652174,0.845108695652174,0.8505434782608695,0.842391304347826,0.8641304347826086,0.022751560531450537,16
0.42044878005981445,0.038503285741945684,0.18745217323303223,0.015979686642180517,10.0,scale,"{'C': 10, 'gamma': 'scale'}",0.9347826086956522,0.9375,0.9198369565217391,0.9252717391304348,0.9144021739130435,0.9263586956521739,0.00873800825587693,1
0.31336207389831544,0.07140226303469654,0.20912322998046876,0.06581023555851688,10.0,0.001,"{'C': 10, 'gamma': 0.001}",0.9225543478260869,0.9198369565217391,0.9157608695652174,0.9116847826086957,0.907608695652174,0.9154891304347826,0.005393867728608458,10
0.3368403911590576,0.09309288134579283,0.15419154167175292,0.038699870719708596,10.0,0.01,"{'C': 10, 'gamma': 0.01}",0.9252717391304348,0.9307065217391305,0.9157608695652174,0.9239130434782609,0.9089673913043478,0.9209239130434783,0.0076570667410899036,7
0.6008484840393067,0.09456038816839944,0.19722633361816405,0.02450265920821652,10.0,0.1,"{'C': 10, 'gamma': 0.1}",0.936141304347826,0.9334239130434783,0.9198369565217391,0.9144021739130435,0.9130434782608695,0.9233695652173912,0.009630459318842046,2
1.3585541248321533,0.13146630457551325,0.3501614570617676,0.033940442729036215,10.0,1,"{'C': 10, 'gamma': 1}",0.9021739130434783,0.8804347826086957,0.845108695652174,0.8546195652173914,0.8301630434782609,0.8625,0.025713472265616547,17
0.5440104961395263,0.08537290185204897,0.10286478996276856,0.01039964959485491,100.0,scale,"{'C': 100, 'gamma': 'scale'}",0.936141304347826,0.9293478260869565,0.9239130434782609,0.9157608695652174,0.90625,0.9222826086956522,0.010432800989376333,4
0.3464857578277588,0.052171212589667684,0.12791991233825684,0.021868402540133534,100.0,0.001,"{'C': 100, 'gamma': 0.001}",0.9293478260869565,0.9279891304347826,0.9184782608695652,0.9171195652173914,0.9144021739130435,0.9214673913043481,0.006039704013829587,5
0.3806036949157715,0.06576349872530515,0.11178336143493653,0.016535385373500567,100.0,0.01,"{'C': 100, 'gamma': 0.01}",0.9252717391304348,0.9334239130434783,0.9157608695652174,0.9198369565217391,0.9089673913043478,0.9206521739130435,0.008313618772162166,8
0.6478549003601074,0.05796412431315662,0.10640373229980468,0.006009693617971771,100.0,0.1,"{'C': 100, 'gamma': 0.1}",0.9266304347826086,0.9184782608695652,0.9103260869565217,0.9130434782608695,0.8885869565217391,0.9114130434782608,0.012699262440812943,11
0.8703064918518066,0.08605934887765722,0.21236867904663087,0.003936044168287654,100.0,1,"{'C': 100, 'gamma': 1}",0.9008152173913043,0.875,0.8328804347826086,0.8478260869565217,0.8220108695652174,0.8557065217391304,0.028724767015166797,19
