Method,Qubits,Accuracy,Precision,Recall,F1,Training_Runtime,Prediction_Runtime
Classical_rbf,0,0.9207383279044516,0.9050279329608939,0.8925619834710744,0.8987517337031901,0.1965951919555664,0.09166789054870605
Basis,16,0.8045602605863192,0.9030837004405288,0.5647382920110193,0.6949152542372882,0.2457451820373535,0.0239384174346923
Angle,16,0.9218241042345277,0.9098591549295776,0.8898071625344353,0.8997214484679665,0.2009060382843017,0.0199413299560546
Amplitude,4,0.8957654723127035,0.871866295264624,0.8622589531680441,0.8670360110803325,1.1341664791107178,0.0158009529113769
Phase,16,0.9218241042345277,0.9098591549295776,0.8898071625344353,0.8997214484679665,0.2073619365692138,0.0214922428131103
