Method,Qubits,Accuracy,Precision,Recall,F1,Training_Runtime,Prediction_Runtime
Classical_rbf,0,0.9207383279044516,0.9050279329608939,0.8925619834710744,0.8987517337031901,0.18823027610778809,0.07349920272827148
Basis,16,0.8045602605863192,0.9030837004405288,0.5647382920110193,0.6949152542372882,0.3258020877838135,0.0341217517852783
Angle,16,0.9218241042345277,0.9098591549295776,0.8898071625344353,0.8997214484679665,0.2173411846160888,0.0191423892974853
Amplitude,4,0.8957654723127035,0.871866295264624,0.8622589531680441,0.8670360110803325,1.0934715270996094,0.0195610523223876
Phase,16,0.9218241042345277,0.9098591549295776,0.8898071625344353,0.8997214484679665,0.1764097213745117,0.0159752368927001
