Component,Explained_Variance_Ratio
PC1,0.1182428283713784
PC2,0.05733768340561611
PC3,0.035398541076880695
PC4,0.02794695860412867
PC5,0.027121787239871534
PC6,0.026149747215974534
PC7,0.025204960076127086
PC8,0.024064433088742686
PC9,0.023076069428198197
PC10,0.02231520086947605
PC11,0.021118361057525428
PC12,0.020313819637190117
PC13,0.019594242389572355
PC14,0.019286318657507524
PC15,0.019146443291549867
PC16,0.018790372920723494
