Method,Qubits,Accuracy,Precision,Recall,F1,Training_Runtime,Prediction_Runtime
Classical_rbf,0,0.9207383279044516,0.9050279329608939,0.8925619834710744,0.8987517337031901,0.18252158164978027,0.08444714546203613
Basis,16,0.8045602605863192,0.9030837004405288,0.5647382920110193,0.6949152542372882,0.2986879348754883,0.0334892272949218
Angle,16,0.9218241042345277,0.9098591549295776,0.8898071625344353,0.8997214484679665,0.2183089256286621,0.0198168754577636
Amplitude,4,0.8957654723127035,0.871866295264624,0.8622589531680441,0.8670360110803325,1.0695350170135498,0.018648624420166
Phase,16,0.9218241042345277,0.9098591549295776,0.8898071625344353,0.8997214484679665,0.1351637840270996,0.0152943134307861
